iter	Passed	Remaining
269	88775	240022
270	89152	239824
271	89467	239458
272	89828	239214
273	90187	238963
274	90512	238622
275	90776	238123
276	91081	237731
277	91431	237458
278	91768	237150
279	92125	236893
280	92507	236701
281	92774	236212
282	93071	235803
283	93456	235614
284	93756	235213
285	94078	234867
286	94387	234488
287	94656	234012
288	94964	233632
289	95289	233294
290	95596	232912
291	95894	232511
292	96281	232325
293	96639	232065
294	96952	231700
295	97338	231507
296	97659	231160
297	97980	230813
298	98283	230424
299	98585	230032
300	98924	229727
301	99293	229493
302	99650	229228
303	99944	228819
304	100212	228353
305	100614	228190
306	100937	227848
307	101260	227508
308	101663	227344
309	101964	226953
310	102276	226586
311	102636	226326
312	102958	225981
313	103312	225707
314	103576	225236
315	104082	225292
316	104397	224932
317	104728	224605
318	105047	224254
319	105304	223771
320	105615	223405
321	105970	223130
322	106278	222757
323	106627	222469
324	106916	222056
325	107224	221684
326	107469	221182
327	107777	220812
328	108106	220485
329	108399	220083
330	108652	219603
331	108891	219095
332	109142	218613
333	109399	218142
334	109629	217621
335	109881	217146
336	110082	216572
337	110294	216020
338	110514	215486
339	110738	214962
340	110961	214438
341	111187	213922
342	111387	213357
343	111654	212922
344	111874	212399
345	112154	211991
346	112360	211444
347	112601	210965
348	112927	210646
349	113179	210191
350	113391	209660
351	113622	209169
352	113839	208652
353	114056	208136
354	114267	207613
355	114522	207169
356	114775	206724
357	115004	206236
358	115248	205778
359	115516	205362
360	115767	204918
361	116019	204475
362	116294	204075
363	116504	203562
364	116765	203140
365	116967	202616
366	117215	202172
367	117411	201641
368	117649	201183
369	117899	200747
370	118157	200325
371	118400	199880
372	118647	199443
373	118896	199007
374	119141	198568
375	119377	198116
376	119623	197680
377	119941	197364
378	120150	196869
379	120424	196482
380	120681	196067
381	120911	195611
382	121129	195135
383	121315	194610
384	121592	194232
385	121818	193772
386	122072	193359
387	122267	192855
388	122500	192411
389	122787	192052
390	123006	191588
391	123260	191179
392	123456	190681
393	123661	190200
394	123891	189757
395	124099	189283
396	124370	188905
397	124647	188537
398	124913	188153
399	125161	187742
400	125433	187367
401	125695	186980
402	125916	186531
403	126174	186138
404	126452	185776
405	126704	185375
406	126929	184936
407	127159	184506
408	127410	184106
409	127643	183682
410	127853	183226
411	128066	182774
412	128328	182394
413	128538	181940
414	128805	181568
415	129050	181166
416	129269	180729
417	129481	180283
418	129739	179901
419	129978	179493
420	130198	179061
421	130427	178642
422	130724	178316
423	130934	177873
424	131164	177457
425	131444	177111
426	131697	176727
427	131872	176240
428	132100	175826
429	132361	175456
430	132590	175044
431	132795	174601
432	132988	174144
433	133218	173736
434	133456	173340
435	133672	172915
436	133903	172511
437	134164	172146
438	134426	171784
439	134656	171381
440	134889	170982
441	135145	170613
442	135352	170183
443	135603	169809
444	135828	169403
445	136047	168992
446	136304	168626
447	136543	168241
448	136766	167835
449	136968	167405
450	137235	167056
451	137439	166630
452	137707	166282
453	137973	165932
454	138245	165590
455	138522	165254
456	138764	164877
457	138998	164491
458	139248	164124
459	139460	163714
460	139681	163315
461	139926	162944
462	140179	162584
463	140390	162175
464	140665	161840
465	140969	161540
466	141203	161159
467	141461	160806
468	141671	160400
469	141918	160035
470	142167	159674
471	142357	159247
472	142608	158889
473	142885	158561
474	143086	158148
475	143302	157752
476	143548	157392
477	143803	157040
478	144042	156672
479	144324	156351
480	144590	156012
481	144851	155670
482	145075	155287
483	145360	154970
484	145619	154627
485	145874	154279
486	146145	153947
487	146387	153587
488	146685	153284
489	146889	152884
490	147159	152554
491	147378	152171
492	147663	151856
493	147868	151460
494	148074	151065
495	148352	150745
496	148605	150399
497	148856	150051
498	149139	149737
499	149381	149381
500	149657	149060
501	149935	148740
502	150144	148353
503	150369	147983
504	150681	147697
505	151003	147422
506	151333	147154
507	151623	146847
508	151836	146466
509	152073	146109
510	152377	145816
511	152626	145472
512	152893	145144
513	153156	144813
514	153347	144414
515	153619	144092
516	153782	143668
517	154038	143333
518	154232	142939
519	154497	142613
520	154776	142299
521	155030	141963
522	155282	141624
523	155534	141286
524	155781	140945
525	156013	140590
526	156271	140258
527	156492	139895
528	156734	139549
529	156942	139175
530	157185	138832
531	157442	138501
532	157683	138157
533	157875	137771
534	158152	137459
535	158402	137124
536	158639	136778
537	159080	136608
538	159331	136273
539	159574	135934
540	159828	135603
541	160071	135263
542	160280	134895
543	160542	134572
544	160808	134253
545	161019	133888
546	161269	133555
547	161544	133244
548	161757	132882
549	161968	132519
550	162200	132174
551	162456	131848
552	162730	131537
553	163047	131261
554	163289	130925
555	163530	130588
556	163828	130298
557	164055	129951
558	164350	129657
559	164607	129334
560	164878	129022
561	165110	128680
562	165328	128327
563	165578	128000
564	165868	127703
565	166098	127361
566	166341	127029
567	166538	126662
568	166781	126331
569	167000	125983
570	167260	125665
571	167459	125301
572	167637	124923
573	167857	124577
574	168110	124255
575	168312	123896
576	168546	123561
577	168777	123224
578	169018	122896
579	169261	122569
580	169467	122214
581	169708	121886
582	169954	121562
583	170182	121225
584	170398	120881
585	170629	120547
586	170839	120198
587	171107	119891
588	171312	119540
589	171530	119199
590	171748	118857
591	172002	118542
592	172221	118202
593	172455	117873
594	172686	117542
595	172945	117231
596	173210	116924
597	173460	116606
598	173689	116276
599	173910	115940
600	174136	115607
601	174437	115325
602	174742	115045
603	175030	114754
604	175231	114407
605	175457	114076
606	175757	113793
607	175980	113460
608	176239	113152
609	176462	112820
610	176696	112496
611	176940	112177
612	177153	111841
613	177402	111526
614	177669	111224
615	177904	110901
616	178132	110575
617	178351	110243
618	178615	109939
619	178848	109616
620	179056	109279
621	179317	108974
622	179596	108680
623	179786	108333
624	180036	108021
625	180312	107726
626	180516	107388
627	180757	107073
628	180977	106744
629	181260	106454
630	181504	106141
631	181754	105831
632	181968	105501
633	182234	105201
634	182511	104908
635	182719	104575
636	182985	104275
637	183260	103981
638	183503	103669
639	183731	103348
640	183964	103031
641	184223	102728
642	184523	102449
643	184712	102108
644	184942	101789
645	185150	101460
646	185410	101159
647	185656	100850
648	185910	100546
649	186165	100242
650	186405	99931
651	186723	99662
652	187347	99555
653	187683	99294
654	188142	99098
655	188392	98791
656	188609	98467
657	188795	98127
658	189062	97830
659	189399	97569
660	189712	97295
661	189950	96983
662	190262	96709
663	190501	96398
664	190767	96100
665	191007	95790
666	191342	95527
667	191616	95234
668	191920	94956
669	192174	94653
670	192640	94454
671	192875	94141
672	193140	93843
673	193379	93533
674	193713	93269
675	194065	93013
676	194379	92739
677	194623	92431
678	194916	92147
679	195207	91862
680	195494	91575
681	195700	91250
682	195971	90955
683	196222	90652
684	196410	90319
685	196597	89987
686	196870	89694
687	197134	89398
688	197369	89088
689	197627	88789
690	197917	88504
691	198270	88247
692	198617	87987
693	198905	87702
694	199228	87431
695	199460	87120
696	200048	86965
697	200360	86688
698	200666	86410
699	200997	86141
700	201325	85872
701	201589	85574
702	201849	85276
703	202178	85006
704	202580	84767
705	202924	84503
706	203447	84314
707	203820	84061
708	204221	83820
709	204724	83619
710	205104	83368
711	205535	83137
12	202454	81492
713	202784	81227
714	203190	80992
715	203498	80717
716	203828	80451
717	204164	80187
718	204820	80048
719	205113	79766
720	205369	79470
721	205602	79165
722	205897	78884
723	206177	78598
724	206450	78308
725	206770	78037
726	207245	77823
727	207515	77533
728	207747	77228
729	208149	76986
730	208525	76735
731	208853	76465
732	209329	76249
733	209660	75980
734	209964	75701
735	210776	75604

736	211653	75529
737	212002	75263
738	212511	75054
739	212842	74782
740	213167	74508
741	213738	74318
742	214180	74083
899
744	223822	76610
745	224147	76318
746	224461	76022
747	224740	75714
748	225054	75418
749	225359	75119
750	225674	74824
751	226012	74535
752	226364	74252
753	226671	73953
754	226976	73654
755	227281	73355
756	227543	73042
757	227853	72744
758	228249	72474
759	228563	72178
760	228891	71885
761	229170	71578
762	229378	71248
763	229652	70939
764	230093	70682
765	230494	70412
766	230783	70107
767	231103	69812
768	231429	69519
769	231752	69224
770	232057	68924
771	232406	68638
772	232771	68356
773	233090	68060
774	233497	67789
775	233801	67489
776	234175	67208
777	234576	66935
778	234885	66636
779	235233	66347
780	235587	66061
781	235887	65758
782	236177	65454
783	236505	65159
784	236821	64861
785	237153	64568
786	237468	64270
787	237819	63981
788	238107	63676
789	238455	63386
790	238766	63087
791	239143	62805
792	239432	62500
793	239698	62188
794	240052	61900
795	240369	61602
796	240720	61312
797	241047	61017
798	241448	60739
799	241763	60440
800	242103	60147
801	242436	59853
802	242734	59550
803	243102	59263
804	243449	58972
805	243742	58667
806	244099	58378
807	244405	58076
808	244848	57807
809	245203	57516
810	245535	57221
811	245847	56920
812	246178	56624
813	246459	56316
814	246718	56003
815	247078	55713
816	247394	55414
817	247734	55119
818	248082	54826
819	248358	54517
820	248670	54216
821	249131	53948
822	249484	53655
823	249856	53367
824	250198	53072
825	250441	52756
826	250747	52453
827	251085	52157
828	251507	51879
829	251820	51577
830	252164	51282
831	252517	50989
832	252847	50690
833	253159	50389
834	253530	50098
835	253937	49815
836	254245	49512
837	254523	49203
838	254881	48910
839	255197	48609
840	255529	48310
841	255838	48007
842	256151	47705
843	256444	47399
844	256704	47087
845	257012	46784
846	257395	46495
847	257745	46199
848	258119	45908
849	258488	45615
850	258787	45310
851	259123	45012
852	259472	44715
853	259799	44415
854	260081	44107
855	260465	43816
856	260760	43510
857	261073	43208
858	261341	42897
859	261731	42607
860	262036	42303
861	262414	42010
862	262766	41713
863	263112	41415
864	263442	41115
865	263801	40819
866	264104	40514
867	264422	40211
868	264772	39913
869	265082	39610
870	265391	39305
871	265689	39000
872	266018	38699
873	266389	38403
874	266691	38098
875	266957	37788
876	267388	37501
877	267721	37200
878	268051	36899
879	268358	36594
880	268805	36308
881	269148	36008
882	269585	35720
883	269904	35417
884	270232	35114
885	270548	34810
886	270906	34512
887	271218	34207
888	271560	33906
889	271965	33613
890	272231	33303
891	272619	33007
892	272829	32690
893	273132	32384
894	273444	32080
895	273819	31782
896	274233	31489
897	274617	31192
898	274888	30882
899	275235	30581
900	275619	30284
901	275983	29984
902	276243	29674
903	276544	29367
904	276946	29071
905	277222	28762
906	277553	28459
907	277903	28157
908	278332	27863
909	278664	27560
910	279027	27259
911	279264	26946
912	279700	26652
913	280030	26348
914	280434	26051
915	280727	25743
916	281069	25440
917	281331	25129
918	281670	24826
919	282018	24523
920	282354	24219
921	282680	23914
922	283039	23612
923	283387	23308
924	283664	22999
925	283931	22689
926	284262	22385
927	284512	22074
928	284766	21763
929	285095	21458
930	285395	21151
931	285904	20859
932	286227	20554
933	286622	20253
934	286955	19948
935	287259	19641
936	287535	19332
937	287833	19025
938	288119	18717
939	288462	18412
940	288764	18105
941	289105	17800
942	289391	17492
943	289733	17187
944	290047	16881
945	290349	16573
946	290706	16269
947	291037	15964
948	291350	15657
949	291693	15352
950	292006	15045
951	292314	14738
952	292598	14430
953	292982	14127
954	293374	13823
955	293713	13518
956	294048	13212
957	294407	12907
958	294748	12601
959	295116	12296
960	295475	11991
961	295812	11684
962	296126	11377
963	296430	11070
964	296758	10763
965	297158	10458
966	297511	10152
967	297924	9848
968	298250	9541
969	298582	9234
970	298854	8925
971	299140	8617
972	299409	8308
973	299723	8000
974	299998	7692
975	300375	7386
976	300656	7077
977	300895	6768
978	301207	6461
979	301509	6153
980	301812	5845
981	302121	5537
982	302454	5230
983	302801	4923
984	303075	4615
985	303410	4308
986	303715	4000
987	304081	3693
988	304388	3385
989	304647	3077
990	304927	2769
991	305250	2461
992	305645	2154
993	305928	1846
994	306452	1539
995	306887	1232
996	307235	924
997	307600	616
998	307940	308
999	308287	0
