iter	RMSE
0	1.132877771
1	0.8017984708
2	0.6101156832
3	0.5303345252
4	0.4724852045
5	0.4312473526
6	0.4010510491
7	0.3787158182
8	0.3571442988
9	0.338654489
10	0.3201798482
11	0.2988291784
12	0.2880023573
13	0.2726931473
14	0.2615182428
15	0.2529122448
16	0.2455223585
17	0.2335307123
18	0.2208484097
19	0.212390383
20	0.203544382
21	0.1959739803
22	0.1893411225
23	0.1815264574
24	0.1758245299
25	0.1713074993
26	0.166977552
27	0.1592220829
28	0.152987156
29	0.148856905
30	0.1455788524
31	0.1423285254
32	0.1384843217
33	0.1354642815
34	0.1319885438
35	0.1263370418
36	0.1234262807
37	0.1211542595
38	0.1156922944
39	0.1115080615
40	0.1064115992
41	0.1034771748
42	0.1000641812
43	0.09660714629
44	0.09332525781
45	0.09112082924
46	0.08862397933
47	0.0856550439
48	0.08227091796
49	0.07995529363
50	0.07689249139
51	0.07458053821
52	0.07331804413
53	0.07204325134
54	0.07052548548
55	0.06833055216
56	0.06719074344
57	0.06491303237
58	0.06336010769
59	0.06074982248
60	0.05993639099
61	0.05797651384
62	0.05586757126
63	0.05437446503
64	0.05319086941
65	0.05197608736
66	0.05114354357
67	0.04916577049
68	0.04817141428
69	0.04707963956
70	0.04513751813
71	0.0441888744
72	0.04326045528
73	0.04212491653
74	0.04078905114
75	0.04000097046
76	0.03884694655
77	0.03832412092
78	0.03727281511
79	0.03675633644
80	0.03572256163
81	0.03482934642
82	0.03384007415
83	0.0332008499
84	0.03231736623
85	0.03191413012
86	0.03073302344
87	0.02989792427
88	0.02938781501
89	0.02843389406
90	0.02744486524
91	0.02733997809
92	0.02658343609
93	0.02579085031
94	0.02515996551
95	0.02464795633
96	0.02430403499
97	0.02370569292
98	0.02316033091
99	0.02269249646
100	0.02194579004
101	0.02125646154
102	0.02053140371
103	0.02001193664
104	0.01965296522
105	0.01905434625
106	0.01867706872
107	0.0182760794
108	0.0175983812
109	0.01742356186
110	0.01686061899
111	0.0164996129
112	0.0162740909
113	0.01593996839
114	0.015646515
115	0.01527444759
116	0.01486295962
117	0.0145301182
118	0.01446111644
119	0.01402763712
120	0.01360803219
121	0.01340691969
122	0.01307651444
123	0.01280915273
124	0.01227543007
125	0.01202152545
126	0.01155851667
127	0.0114364948
128	0.01117671452
129	0.01099189319
130	0.01068788894
131	0.01038050143
132	0.0100593472
133	0.009884138583
134	0.009698996851
135	0.009625645649
136	0.009314129709
137	0.009168814649
138	0.008980809409
139	0.008800103008
140	0.008554896739
141	0.008340079549
142	0.008188432814
143	0.008042210494
144	0.007907401815
145	0.007723791391
146	0.00757056398
147	0.007439138541
148	0.00729722749
149	0.007143967513
150	0.007020561001
151	0.006862518769
152	0.006725790156
153	0.006496511482
154	0.006339855701
155	0.00625607627
156	0.006138824254
157	0.006011353307
158	0.00586917727
159	0.005690204272
160	0.005548402438
161	0.005431507362
162	0.00529850247
163	0.00523975882
164	0.005131701138
165	0.005025289634
166	0.004958788788
167	0.004838982447
168	0.004729298383
169	0.004645537093
170	0.004553380913
171	0.00448638401
172	0.004451169069
173	0.004318980523
174	0.004229304882
175	0.00410855648
176	0.004029405066
177	0.004010817768
178	0.003910420003
179	0.003830045452
180	0.003758985047
181	0.003698157335
182	0.003593284936
183	0.003526143792
184	0.003468062285
185	0.003392607933
186	0.003291954159
187	0.003149578721
188	0.003115711007
189	0.003052445101
190	0.002980039372
191	0.002918656338
192	0.002860969432
193	0.002831703932
194	0.002795506879
195	0.002728125622
196	0.002664911982
197	0.002616848529
198	0.002575481553
199	0.002487979574
200	0.002448098122
201	0.002394980887
202	0.002360065962
203	0.002298012044
204	0.002234820809
205	0.002200417825
206	0.002179247259
207	0.002106610848
208	0.002061310538
209	0.002012550749
210	0.001974299491
211	0.001937468363
212	0.001893819979
213	0.001870002719
214	0.001810251533
215	0.001786109055
216	0.001745136005
217	0.001710832373
218	0.001677893037
219	0.001642205162
220	0.001610653895
221	0.001561389892
222	0.001530284604
223	0.001511095172
224	0.001484042096
225	0.001450672718
226	0.001423530049
227	0.001398397076
228	0.00135001996
229	0.001322563192
230	0.001291511815
231	0.001252225925
232	0.001231206278
233	0.001186996875
234	0.001161425314
235	0.001128949216
236	0.001091340128
237	0.001074294968
238	0.001057965723
239	0.00103517772
240	0.001020842355
241	0.000996956099
242	0.0009728646861
243	0.0009623101744
244	0.0009411396715
245	0.0009125843152
246	0.0008963477401
247	0.0008772376804
248	0.0008669034692
249	0.0008434999221
250	0.0008251139738
251	0.0008062378304
252	0.0007937089932
253	0.0007765881306
254	0.000764188744
255	0.0007434588091
256	0.000728817524
257	0.0007208519987
258	0.0006980835182
259	0.0006840831103
260	0.0006728765474
261	0.0006632625741
262	0.0006486545314
263	0.0006384507888
264	0.0006269728657
265	0.0006103658404
266	0.0005998342451
267	0.0005887044164
268	0.000583207377
269	0.0005707724821
270	0.0005558719245
271	0.0005449943664
272	0.0005336678192
273	0.000531725054
274	0.0005202025194
275	0.0005121798687
276	0.0005083149188
277	0.0004956965929
278	0.000482832928
279	0.0004680919001
280	0.0004595084842
281	0.0004539138463
282	0.000447273119
283	0.0004412963811
284	0.0004322635187
285	0.0004236026276
286	0.000414154876
287	0.0004053141083
288	0.0003938664491
289	0.0003897854262
290	0.0003821163646
291	0.0003773892324
292	0.0003706187051
293	0.0003609141958
294	0.000355330486
295	0.0003488692353
296	0.000341845086
297	0.0003321275257
298	0.0003272173621
299	0.0003186808182
300	0.0003121462134
301	0.0003086193267
302	0.0003038632142
303	0.0002973478073
304	0.000290482569
305	0.0002886156502
306	0.0002833657944
307	0.0002779472554
308	0.000275560185
309	0.0002706082395
310	0.0002652288777
311	0.0002612526262
312	0.0002587570283
313	0.0002525230054
314	0.0002485380878
315	0.0002470876846
316	0.0002393744266
317	0.0002353323423
318	0.0002315397342
319	0.0002274247479
320	0.0002224220113
321	0.0002166316655
322	0.0002136173326
323	0.0002107724889
324	0.0002069108596
325	0.0002013451211
326	0.0001974714101
327	0.0001921665336
328	0.0001880924063
329	0.0001809469755
330	0.0001782225642
331	0.0001736077452
332	0.0001704890209
333	0.0001664680902
334	0.0001625219399
335	0.0001597412066
336	0.0001571748583
337	0.0001544310707
338	0.0001516418422
339	0.000147907839
340	0.000146531187
341	0.0001456914396
342	0.0001440195865
343	0.0001408846908
344	0.0001391599374
345	0.0001364207024
346	0.0001338240228
347	0.0001326635046
348	0.0001301514487
349	0.0001269596492
350	0.000124669512
351	0.0001231446509
352	0.0001219419529
353	0.0001200067509
354	0.0001188675497
355	0.0001178573817
356	0.0001166279739
357	0.0001149206013
358	0.0001129626794
359	0.000111215923
360	0.0001100040212
361	0.000108813412
362	0.0001081937335
363	0.0001062646918
364	0.0001056658142
365	0.00010506171
366	0.0001033143752
367	0.0001023066457
368	9.998357084e-05
369	9.885863757e-05
370	9.81605014e-05
371	9.624751426e-05
372	9.470223124e-05
373	9.237939079e-05
374	9.070407989e-05
375	9.01640365e-05
376	8.900504723e-05
377	8.694724129e-05
378	8.515183873e-05
379	8.387459879e-05
380	8.14199496e-05
381	8.048620459e-05
382	7.870223202e-05
383	7.829227635e-05
384	7.697250168e-05
385	7.528737349e-05
386	7.407783373e-05
387	7.328079545e-05
388	7.267084546e-05
389	7.13917792e-05
390	6.918528096e-05
391	6.677707027e-05
392	6.630896753e-05
393	6.456407468e-05
394	6.373014344e-05
395	6.262345875e-05
396	6.095123945e-05
397	5.960277171e-05
398	5.839198791e-05
399	5.721468997e-05
400	5.620777583e-05
401	5.576397956e-05
402	5.383284007e-05
403	5.270224594e-05
404	5.156172297e-05
405	5.089135965e-05
406	4.97322889e-05
407	4.9121002e-05
408	4.837938361e-05
409	4.688243399e-05
410	4.603775369e-05
411	4.522552753e-05
412	4.454717744e-05
413	4.395165906e-05
414	4.269457109e-05
415	4.200275539e-05
416	4.147591848e-05
417	4.092562344e-05
418	3.994983735e-05
419	3.96786646e-05
420	3.916256966e-05
421	3.880477777e-05
422	3.795139391e-05
423	3.713987352e-05
424	3.626900125e-05
425	3.53584962e-05
426	3.462806265e-05
427	3.421750715e-05
428	3.36246441e-05
429	3.308074023e-05
430	3.248675846e-05
431	3.153056296e-05
432	3.099068818e-05
433	3.070098197e-05
434	3.021975522e-05
435	2.953519347e-05
436	2.897103772e-05
437	2.831222005e-05
438	2.777830193e-05
439	2.736205399e-05
440	2.691798843e-05
441	2.617960677e-05
442	2.564804996e-05
443	2.520001167e-05
444	2.46243339e-05
445	2.430308962e-05
446	2.393237547e-05
447	2.350103802e-05
448	2.315909772e-05
449	2.279592972e-05
450	2.222851465e-05
451	2.173616092e-05
452	2.146632354e-05
453	2.09602039e-05
454	2.039465841e-05
455	2.00029263e-05
456	1.978154891e-05
457	1.934672551e-05
458	1.911309622e-05
459	1.880611252e-05
460	1.851550615e-05
461	1.821240084e-05
462	1.794560266e-05
463	1.769046786e-05
464	1.752507869e-05
465	1.723538629e-05
466	1.706295259e-05
467	1.659620195e-05
468	1.627875441e-05
469	1.571675301e-05
470	1.548887083e-05
471	1.520124201e-05
472	1.482819464e-05
473	1.457560292e-05
474	1.424946227e-05
475	1.395964887e-05
476	1.374436556e-05
477	1.358133995e-05
478	1.343712881e-05
479	1.310863835e-05
480	1.286222225e-05
481	1.255846151e-05
482	1.218502984e-05
483	1.191233953e-05
484	1.157096577e-05
485	1.14869513e-05
486	1.130669512e-05
487	1.116779859e-05
488	1.096577216e-05
489	1.078591731e-05
490	1.054493093e-05
491	1.031325322e-05
492	1.007300132e-05
493	9.807300185e-06
494	9.790239456e-06
495	9.484203861e-06
496	9.140795264e-06
497	8.886205733e-06
498	8.588370308e-06
499	8.353766227e-06
500	8.261686012e-06
501	7.995625158e-06
502	7.903075713e-06
503	7.81781747e-06
504	7.661731473e-06
505	7.512207675e-06
506	7.329105427e-06
507	7.174157443e-06
508	7.046331668e-06
509	6.969287035e-06
510	6.815804735e-06
511	6.660140385e-06
512	6.513634e-06
513	6.401626385e-06
514	6.328545641e-06
515	6.204722027e-06
516	6.056456781e-06
517	5.978909729e-06
518	5.786682919e-06
519	5.630906856e-06
520	5.500740923e-06
521	5.36104261e-06
522	5.301398311e-06
523	5.200969008e-06
524	5.01923994e-06
525	4.964617087e-06
526	4.9266181e-06
527	4.861798255e-06
528	4.763676204e-06
529	4.727660445e-06
530	4.653039168e-06
531	4.529165635e-06
532	4.437047509e-06
533	4.381229265e-06
534	4.264882763e-06
535	4.198050369e-06
536	4.107615464e-06
537	4.01336752e-06
538	3.958707398e-06
539	3.898923567e-06
540	3.853689384e-06
541	3.734145831e-06
542	3.669116606e-06
543	3.550206134e-06
544	3.511482844e-06
545	3.436123863e-06
546	3.405223488e-06
547	3.330982924e-06
548	3.262628743e-06
549	3.214682268e-06
550	3.110273458e-06
551	3.055930171e-06
552	2.973049084e-06
553	2.89804273e-06
554	2.849425681e-06
555	2.794049875e-06
556	2.738556593e-06
557	2.672448101e-06
558	2.609495243e-06
559	2.582712017e-06
560	2.496145326e-06
561	2.431793836e-06
562	2.382400821e-06
563	2.344150166e-06
564	2.293279381e-06
565	2.233028802e-06
566	2.192454871e-06
567	2.131104569e-06
568	2.09497137e-06
569	2.048549133e-06
570	2.007744304e-06
571	1.970405663e-06
572	1.940659139e-06
573	1.882942659e-06
574	1.840321501e-06
575	1.79853751e-06
576	1.777876788e-06
577	1.744893502e-06
578	1.727887623e-06
579	1.699211217e-06
580	1.667469396e-06
581	1.639975716e-06
582	1.604141804e-06
583	1.554133252e-06
584	1.534502566e-06
585	1.523150195e-06
586	1.498785488e-06
587	1.475914152e-06
588	1.461551351e-06
589	1.426825725e-06
590	1.411092263e-06
591	1.381388982e-06
592	1.355435172e-06
593	1.324960219e-06
594	1.308657259e-06
595	1.278926653e-06
596	1.252246092e-06
597	1.229351134e-06
598	1.205818879e-06
599	1.186649509e-06
600	1.149335048e-06
601	1.127104057e-06
602	1.105102605e-06
603	1.090928792e-06
604	1.072561233e-06
605	1.052621765e-06
606	1.035279333e-06
607	1.015513837e-06
608	9.974525782e-07
609	9.838147893e-07
610	9.711353098e-07
611	9.602303794e-07
612	9.388011076e-07
613	9.22057483e-07
614	9.150675802e-07
615	8.911411871e-07
616	8.694310328e-07
617	8.595876414e-07
618	8.474335295e-07
619	8.380972186e-07
620	8.250402466e-07
621	8.131174165e-07
622	7.982127199e-07
623	7.905741383e-07
624	7.786848001e-07
625	7.476006437e-07
626	7.398170139e-07
627	7.191569764e-07
628	7.162510547e-07
629	7.072649848e-07
630	7.004074523e-07
631	6.882089681e-07
632	6.700343996e-07
633	6.586136659e-07
634	6.36670773e-07
635	6.260926692e-07
636	6.129660781e-07
637	5.987027548e-07
638	5.860899975e-07
639	5.829615586e-07
640	5.78267805e-07
641	5.688166431e-07
642	5.618374017e-07
643	5.510326389e-07
644	5.312658956e-07
645	5.265175915e-07
646	5.2348816e-07
647	5.065961101e-07
648	4.988365178e-07
649	4.897154357e-07
650	4.852377405e-07
651	4.810175584e-07
652	4.769914269e-07
653	4.651143613e-07
654	4.513679938e-07
655	4.416842858e-07
656	4.276802851e-07
657	4.197826451e-07
658	4.167456411e-07
659	4.086519047e-07
660	4.045475709e-07
661	3.993795318e-07
662	3.958008176e-07
663	3.933405942e-07
664	3.870615495e-07
665	3.822410518e-07
666	3.775158063e-07
667	3.733398303e-07
668	3.660369427e-07
669	3.601265741e-07
670	3.535053686e-07
671	3.528805556e-07
672	3.462578092e-07
673	3.408873556e-07
674	3.330904483e-07
675	3.276974404e-07
676	3.255207559e-07
677	3.196038733e-07
678	3.177099511e-07
679	3.095329217e-07
680	3.052941508e-07
681	2.986707093e-07
682	2.957933125e-07
683	2.930480436e-07
684	2.822472686e-07
685	2.808967258e-07
686	2.776365897e-07
687	2.713848687e-07
688	2.650831846e-07
689	2.636596578e-07
690	2.607497442e-07
691	2.571997986e-07
692	2.537144415e-07
693	2.478776547e-07
694	2.436586475e-07
695	2.375716835e-07
696	2.327194741e-07
697	2.282230768e-07
698	2.264387898e-07
699	2.230958086e-07
700	2.174053943e-07
701	2.135985425e-07
702	2.124703821e-07
703	2.056650139e-07
704	2.041977434e-07
705	1.987730936e-07
706	1.9562042e-07
707	1.921484865e-07
708	1.895635381e-07
709	1.847448486e-07
710	1.806522343e-07
711	1.784491368e-07
3e-07
714	2.266718931e-07
715	2.220451393e-07
716	2.178032224e-07
717	2.150062518e-07
718	2.137005488e-07
719	2.093828722e-07
720	2.037610023e-07
721	1.992099424e-07
722	1.959265104e-07
723	1.921095742e-07
724	1.875923487e-07
725	1.839900685e-07
726	1.812677546e-07
727	1.783480787e-07
728	1.772379402e-07
729	1.766593847e-07
730	1.734549776e-07
731	1.713585369e-07
732	1.676999484e-07
733	1.652756079e-07
734	1.630570494e-07
735	1.598537016e-07
5245e-07
734	1.174317114e-07
735	1.169374725e-07
736	1.15366754e-07
737	1.132677841e-07
738	1.11595344e-07
739	1.105709646e-07
740	1.094056572e-07
741	1.073042202e-07
742	1.066887948e-07
09
741	5.29332831e-09
742	5.133254486e-09
743	5.013733927e-09
744	4.943276087e-09
745	4.89052519e-09
746	4.770226834e-09
747	4.69292797e-09
748	4.566668416e-09
749	4.504966868e-09
750	4.438900227e-09
751	4.389414824e-09
752	4.317141866e-09
753	4.264257388e-09
754	4.224980055e-09
755	4.117183217e-09
756	4.075378407e-09
757	4.001703141e-09
758	3.91116935e-09
759	3.832419654e-09
760	3.783932816e-09
761	3.741189856e-09
762	3.715348909e-09
763	3.648517087e-09
764	3.596800248e-09
765	3.538795533e-09
766	3.517037712e-09
767	3.481621907e-09
768	3.403291576e-09
769	3.316223949e-09
770	3.254492256e-09
771	3.165545094e-09
772	3.083705154e-09
773	2.985782752e-09
774	2.941252865e-09
